time,IP,seq
1462855280,2001:470:83ae:2:212:6d02:0:4044,22
1462855281,2001:470:83ae:2:212:6d02:0:4042,21
1462855281,2001:470:83ae:2:212:6d02:0:4013,22
1462855283,2001:470:83ae:2:212:6d02:0:4043,21
1462855283,2001:470:83ae:2:212:6d02:0:4040,21
1462855284,2001:470:83ae:2:212:6d02:0:4034,23
1462855286,2001:470:83ae:2:212:6d02:0:400f,23
1462855287,2001:470:83ae:2:212:6d02:0:4035,21
1462855288,2001:470:83ae:2:212:6d02:0:4043,22
1462855288,2001:470:83ae:2:212:6d02:0:4041,20
1462855290,2001:470:83ae:2:212:6d02:0:4044,23
1462855291,2001:470:83ae:2:212:6d02:0:4042,22
1462855291,2001:470:83ae:2:212:6d02:0:4013,23
1462855293,2001:470:83ae:2:212:6d02:0:4043,22
1462855293,2001:470:83ae:2:212:6d02:0:4040,22
1462855294,2001:470:83ae:2:212:6d02:0:4034,24
1462855296,2001:470:83ae:2:212:6d02:0:400f,24
1462855297,2001:470:83ae:2:212:6d02:0:4035,22
1462855298,2001:470:83ae:2:212:6d02:0:4043,23
1462855299,2001:470:83ae:2:212:6d02:0:4041,21
1462855300,2001:470:83ae:2:212:6d02:0:4044,24
1462855301,2001:470:83ae:2:212:6d02:0:4042,23
1462855301,2001:470:83ae:2:212:6d02:0:4013,24
1462855303,2001:470:83ae:2:212:6d02:0:4040,23
1462855303,2001:470:83ae:2:212:6d02:0:4043,23
1462855304,2001:470:83ae:2:212:6d02:0:4034,25
1462855306,2001:470:83ae:2:212:6d02:0:400f,25
1462855307,2001:470:83ae:2:212:6d02:0:4035,23
1462855308,2001:470:83ae:2:212:6d02:0:4043,24
1462855309,2001:470:83ae:2:212:6d02:0:4041,22
1462855310,2001:470:83ae:2:212:6d02:0:4044,25
1462855310,2001:470:83ae:2:212:6d02:0:4042,24
1462855311,2001:470:83ae:2:212:6d02:0:4013,25
1462855313,2001:470:83ae:2:212:6d02:0:4040,24
1462855314,2001:470:83ae:2:212:6d02:0:4043,24
1462855314,2001:470:83ae:2:212:6d02:0:4034,26
1462855317,2001:470:83ae:2:212:6d02:0:4035,24
1462855318,2001:470:83ae:2:212:6d02:0:4043,25
1462855320,2001:470:83ae:2:212:6d02:0:4041,23
1462855320,2001:470:83ae:2:212:6d02:0:4044,26
1462855320,2001:470:83ae:2:212:6d02:0:4042,25
1462855321,2001:470:83ae:2:212:6d02:0:4013,26
1462855323,2001:470:83ae:2:212:6d02:0:4040,25
1462855324,2001:470:83ae:2:212:6d02:0:4034,27
1462855324,2001:470:83ae:2:212:6d02:0:4043,25
1462855326,2001:470:83ae:2:212:6d02:0:400f,27
1462855327,2001:470:83ae:2:212:6d02:0:4035,25
1462855328,2001:470:83ae:2:212:6d02:0:4043,26
1462855330,2001:470:83ae:2:212:6d02:0:4044,27
1462855330,2001:470:83ae:2:212:6d02:0:4041,24
1462855330,2001:470:83ae:2:212:6d02:0:4042,26
1462855331,2001:470:83ae:2:212:6d02:0:4013,27
1462855333,2001:470:83ae:2:212:6d02:0:4040,26
1462855334,2001:470:83ae:2:212:6d02:0:4034,28
1462855334,2001:470:83ae:2:212:6d02:0:4043,26
1462855336,2001:470:83ae:2:212:6d02:0:400f,28
1462855337,2001:470:83ae:2:212:6d02:0:4035,26
1462855338,2001:470:83ae:2:212:6d02:0:4043,27
1462855340,2001:470:83ae:2:212:6d02:0:4044,28
1462855340,2001:470:83ae:2:212:6d02:0:4042,27
1462855341,2001:470:83ae:2:212:6d02:0:4041,25
1462855341,2001:470:83ae:2:212:6d02:0:4013,28
1462855343,2001:470:83ae:2:212:6d02:0:4040,27
1462855344,2001:470:83ae:2:212:6d02:0:4034,29
1462855345,2001:470:83ae:2:212:6d02:0:4043,27
1462855346,2001:470:83ae:2:212:6d02:0:400f,29
1462855347,2001:470:83ae:2:212:6d02:0:4035,27
1462855348,2001:470:83ae:2:212:6d02:0:4043,28
1462855350,2001:470:83ae:2:212:6d02:0:4044,29
1462855350,2001:470:83ae:2:212:6d02:0:4042,28
1462855351,2001:470:83ae:2:212:6d02:0:4013,29
1462855351,2001:470:83ae:2:212:6d02:0:4041,26
1462855353,2001:470:83ae:2:212:6d02:0:4040,28
1462855354,2001:470:83ae:2:212:6d02:0:4034,30
1462855355,2001:470:83ae:2:212:6d02:0:4043,28
1462855356,2001:470:83ae:2:212:6d02:0:400f,30
1462855357,2001:470:83ae:2:212:6d02:0:4035,28
1462855358,2001:470:83ae:2:212:6d02:0:4043,29
1462855360,2001:470:83ae:2:212:6d02:0:4044,30
1462855360,2001:470:83ae:2:212:6d02:0:4042,29
1462855361,2001:470:83ae:2:212:6d02:0:4013,30
1462855362,2001:470:83ae:2:212:6d02:0:4041,27
1462855363,2001:470:83ae:2:212:6d02:0:4040,29
1462855364,2001:470:83ae:2:212:6d02:0:4034,31
1462855365,2001:470:83ae:2:212:6d02:0:4043,29
1462855366,2001:470:83ae:2:212:6d02:0:400f,31
1462855367,2001:470:83ae:2:212:6d02:0:4035,29
1462855368,2001:470:83ae:2:212:6d02:0:4043,30
1462855370,2001:470:83ae:2:212:6d02:0:4042,30
1462855371,2001:470:83ae:2:212:6d02:0:4013,31
1462855372,2001:470:83ae:2:212:6d02:0:4041,28
1462855373,2001:470:83ae:2:212:6d02:0:4040,30
1462855374,2001:470:83ae:2:212:6d02:0:4034,32
1462855376,2001:470:83ae:2:212:6d02:0:4043,30
1462855376,2001:470:83ae:2:212:6d02:0:400f,32
1462855377,2001:470:83ae:2:212:6d02:0:4035,30
1462855378,2001:470:83ae:2:212:6d02:0:4043,31
1462855380,2001:470:83ae:2:212:6d02:0:4042,31
1462855381,2001:470:83ae:2:212:6d02:0:4044,32
1462855381,2001:470:83ae:2:212:6d02:0:4013,32
1462855383,2001:470:83ae:2:212:6d02:0:4041,29
1462855383,2001:470:83ae:2:212:6d02:0:4040,31
1462855384,2001:470:83ae:2:212:6d02:0:4034,33
1462855386,2001:470:83ae:2:212:6d02:0:4043,31
1462855386,2001:470:83ae:2:212:6d02:0:400f,33
1462855387,2001:470:83ae:2:212:6d02:0:4035,31
1462855388,2001:470:83ae:2:212:6d02:0:4043,32
1462855390,2001:470:83ae:2:212:6d02:0:4042,32
1462855391,2001:470:83ae:2:212:6d02:0:4044,33
1462855391,2001:470:83ae:2:212:6d02:0:4013,33
1462855393,2001:470:83ae:2:212:6d02:0:4040,32
1462855393,2001:470:83ae:2:212:6d02:0:4041,30
1462855394,2001:470:83ae:2:212:6d02:0:4034,34
1462855396,2001:470:83ae:2:212:6d02:0:4043,32
1462855396,2001:470:83ae:2:212:6d02:0:400f,34
1462855397,2001:470:83ae:2:212:6d02:0:4035,32
1462855398,2001:470:83ae:2:212:6d02:0:4043,33
1462855400,2001:470:83ae:2:212:6d02:0:4042,33
1462855401,2001:470:83ae:2:212:6d02:0:4044,34
1462855401,2001:470:83ae:2:212:6d02:0:4013,34
1462855403,2001:470:83ae:2:212:6d02:0:4040,33
1462855404,2001:470:83ae:2:212:6d02:0:4041,31
1462855404,2001:470:83ae:2:212:6d02:0:4034,35
1462855407,2001:470:83ae:2:212:6d02:0:4043,33
1462855408,2001:470:83ae:2:212:6d02:0:4043,34
1462855410,2001:470:83ae:2:212:6d02:0:4042,34
1462855411,2001:470:83ae:2:212:6d02:0:4044,35
1462855411,2001:470:83ae:2:212:6d02:0:4013,35
1462855413,2001:470:83ae:2:212:6d02:0:4040,34
1462855414,2001:470:83ae:2:212:6d02:0:4034,36
1462855414,2001:470:83ae:2:212:6d02:0:4041,32
1462855416,2001:470:83ae:2:212:6d02:0:400f,36
1462855417,2001:470:83ae:2:212:6d02:0:4035,34
1462855417,2001:470:83ae:2:212:6d02:0:4043,34
1462855420,2001:470:83ae:2:212:6d02:0:4042,35
1462855421,2001:470:83ae:2:212:6d02:0:4044,36
1462855421,2001:470:83ae:2:212:6d02:0:4013,36
1462855423,2001:470:83ae:2:212:6d02:0:4040,35
1462855424,2001:470:83ae:2:212:6d02:0:4034,37
1462855425,2001:470:83ae:2:212:6d02:0:4041,33
