00:01:28 fe80::212:6d02:0:3005,ff02::1a,29,1,
00:01:28 fe80::212:6d02:0:400d,ff02::1a,46,1,
00:01:28 ,40,,
00:01:28 fe80::212:6d02:0:400f,ff02::1a,22,1,
00:01:29 fe80::212:6d02:0:400f,ff02::2,23,0,1
00:01:29 fe80::212:6d02:0:400d,fe80::212:6d02:0:400f,47,0,1,3
00:01:29 ,47,,
00:01:30 fe80::212:6d02:0:310d,ff02::1a,37,1,
00:01:30 fe80::212:6d02:0:4012,ff02::1a,41,1,
00:01:30 fe80::212:6d02:0:400f,ff02::1a,24,1,
00:01:30 fe80::212:6d02:0:3005,ff02::1a,30,1,
00:01:33 fe80::212:6d02:0:400f,ff02::1a,25,1,
00:01:33 fe80::212:6d02:0:400d,ff02::1a,49,1,
00:01:34 fe80::212:6d02:0:310d,ff02::1a,38,1,
00:01:34 fe80::212:6d02:0:4012,ff02::1a,42,1,
00:01:34 fe80::212:6d02:0:3005,ff02::1a,31,1,
00:01:39 fe80::212:6d02:0:4012,ff02::1a,43,1,
00:01:40 fe80::212:6d02:0:310d,ff02::1a,39,1,
00:01:40 fe80::212:6d02:0:3005,ff02::1a,32,1,
00:01:40 fe80::212:6d02:0:400f,ff02::1a,26,1,
00:01:41 fe80::212:6d02:0:400d,ff02::1a,50,1,
00:01:46 fe80::212:6d02:0:4035,ff02::1a,17,0,
00:01:46 fe80::212:6d02:0:4012,ff02::1a,44,1,
00:01:46 fe80::212:6d02:0:310d,ff02::1a,40,1,
00:01:46 fe80::212:6d02:0:3005,ff02::1a,33,1,
00:01:46 fe80::212:6d02:0:400d,ff02::1a,51,1,
00:01:46 fe80::212:6d02:0:400f,ff02::1a,27,1,
00:01:46 fe80::212:6d02:0:4035,ff02::1a,18,1,
00:01:46 fe80::212:6d02:0:4035,fe80::212:6d02:0:400d,19,2,
00:01:46 ,19,,
00:01:46 fe80::212:6d02:0:4035,fe80::212:6d02:0:400d,20,2,
00:01:46 ,20,,
00:01:46 fe80::212:6d02:0:310d,ff02::1a,41,1,
00:01:46 fe80::212:6d02:0:3005,ff02::1a,34,1,
00:01:46 fe80::212:6d02:0:400f,ff02::1a,28,1,
00:01:47 fe80::212:6d02:0:400d,ff02::1a,52,1,
00:01:47 fe80::212:6d02:0:4012,ff02::1a,45,1,
00:01:47 fe80::212:6d02:0:4035,ff02::1a,21,1,
00:01:48 fe80::212:6d02:0:3005,ff02::1a,35,1,
00:01:48 fe80::212:6d02:0:4012,ff02::1a,46,1,
00:01:48 fe80::212:6d02:0:400f,ff02::1a,29,1,
00:01:48 fe80::212:6d02:0:310d,ff02::1a,42,1,
00:01:48 fe80::212:6d02:0:4035,ff02::1a,22,1,
00:01:48 fe80::212:6d02:0:400d,ff02::1a,53,1,
00:01:49 fe80::212:6d02:0:4035,ff02::2,23,0,1
00:01:49 fe80::212:6d02:0:400d,fe80::212:6d02:0:4035,54,0,1,3
00:01:49 ,54,,
00:01:49 fe80::212:6d02:0:4012,ff02::1a,47,1,
00:01:49 fe80::212:6d02:0:3005,ff02::1a,36,1,
00:01:49 fe80::212:6d02:0:310d,ff02::1a,43,1,
00:01:49 fe80::212:6d02:0:4035,ff02::1a,24,1,
00:01:49 fe80::212:6d02:0:400d,ff02::1a,55,1,
00:01:49 fe80::212:6d02:0:400f,ff02::1a,30,1,
00:01:52 fe80::212:6d02:0:4035,ff02::1a,25,1,
00:01:52 fe80::212:6d02:0:400d,ff02::1a,56,1,
00:01:54 fe80::212:6d02:0:4012,ff02::1a,48,1,
00:01:54 fe80::212:6d02:0:3005,ff02::1a,37,1,
00:01:54 fe80::212:6d02:0:310d,ff02::1a,44,1,
00:01:54 fe80::212:6d02:0:400f,ff02::1a,31,1,
00:01:58 fe80::212:6d02:0:4012,ff02::1a,49,1,
00:01:59 fe80::212:6d02:0:310d,ff02::1a,45,1,
00:01:59 fe80::212:6d02:0:400f,ff02::1a,32,1,
00:01:59 fe80::212:6d02:0:3005,ff02::1a,38,1,
00:02:00 fe80::212:6d02:0:4035,ff02::1a,26,1,
00:02:02 fe80::212:6d02:0:400d,ff02::1a,57,1,
00:02:06 fe80::212:6d02:0:304e,ff02::1a,17,0,
00:02:06 fe80::212:6d02:0:310d,ff02::1a,46,1,
00:02:06 fe80::212:6d02:0:3005,ff02::1a,39,1,
00:02:06 fe80::212:6d02:0:400d,ff02::1a,58,1,
00:02:06 fe80::212:6d02:0:4012,ff02::1a,50,1,
00:02:06 fe80::212:6d02:0:4035,ff02::1a,27,1,
00:02:06 fe80::212:6d02:0:304e,ff02::1a,18,1,
00:02:06 fe80::212:6d02:0:304e,fe80::212:6d02:0:400d,19,2,
00:02:06 ,19,,
00:02:06 fe80::212:6d02:0:400f,ff02::1a,34,1,
00:02:06 fe80::212:6d02:0:4012,ff02::1a,51,1,
00:02:06 fe80::212:6d02:0:400d,ff02::1a,59,1,
00:02:07 fe80::212:6d02:0:4035,ff02::1a,28,1,
00:02:07 fe80::212:6d02:0:310d,ff02::1a,47,1,
00:02:07 fe80::212:6d02:0:304e,ff02::1a,20,1,
00:02:08 fe80::212:6d02:0:400f,ff02::1a,35,1,
00:02:08 fe80::212:6d02:0:310d,ff02::1a,48,1,
00:02:08 fe80::212:6d02:0:4035,ff02::1a,29,1,
