00:00:14 ,19,,
00:00:15 fe80::212:6d02:0:3041,ff02::1a,19,1,
00:00:15 fe80::212:6d02:0:4034,ff02::1a,20,1,
00:00:15 fe80::212:6d02:0:3005,ff02::1a,19,1,
00:00:15 fe80::212:6d02:0:4013,ff02::1a,19,1,
00:00:15 fe80::212:6d02:0:400f,ff02::1a,19,1,
00:00:15 fe80::212:6d02:0:304e,ff02::1a,19,1,
00:00:15 fe80::212:6d02:0:4035,ff02::1a,19,1,
00:00:15 fe80::212:6d02:0:3041,ff02::1a,20,1,
00:00:15 fe80::212:6d02:0:4034,ff02::1a,21,1,
00:00:15 fe80::212:6d02:0:3005,ff02::1a,20,1,
00:00:15 fe80::212:6d02:0:4013,ff02::1a,20,1,
00:00:15 fe80::212:6d02:0:400f,ff02::1a,20,1,
00:00:15 fe80::212:6d02:0:304e,ff02::1a,20,1,
00:00:17 fe80::212:6d02:0:400d,ff02::1a,21,1,
00:00:17 fe80::212:6d02:0:4034,ff02::1a,22,1,
00:00:17 fe80::212:6d02:0:3041,ff02::1a,21,1,
00:00:17 ,21,,
00:00:17 fe80::212:6d02:0:4013,ff02::1a,21,1,
00:00:17 fe80::212:6d02:0:400f,ff02::1a,21,1,
00:00:17 fe80::212:6d02:0:304e,ff02::1a,21,1,
00:00:17 fe80::212:6d02:0:4035,ff02::1a,21,1,
00:00:17 fe80::212:6d02:0:4035,fe80::212:6d02:0:400d,22,2,
00:00:17 ,22,,
00:00:19 fe80::212:6d02:0:4034,ff02::2,23,0,1
00:00:19 fe80::212:6d02:0:304e,ff02::2,22,0,1
00:00:19 fe80::212:6d02:0:4035,ff02::2,23,0,1
00:00:19 fe80::212:6d02:0:4043,ff02::2,22,0,1
00:00:19 fe80::212:6d02:0:3005,ff02::2,22,0,1
00:00:19 fe80::212:6d02:0:4013,ff02::2,22,0,1
00:00:19 fe80::212:6d02:0:400f,ff02::2,22,0,1
00:00:19 fe80::212:6d02:0:3041,ff02::2,22,0,1
00:00:19 fe80::212:6d02:0:400d,fe80::212:6d02:0:4034,22,0,1,3
00:00:19 ,22,,
