1463028118,2001:470:83ae:2:212:6d02:0:4013,16
1463028119,2001:470:83ae:2:212:6d02:0:4034,16
1463028130,2001:470:83ae:2:212:6d02:0:4045,17
1463028133,2001:470:83ae:2:212:6d02:0:4043,17
1463028138,2001:470:83ae:2:212:6d02:0:4040,17
1463028139,2001:470:83ae:2:212:6d02:0:4044,17
1463028139,2001:470:83ae:2:212:6d02:0:400f,17
1463028140,2001:470:83ae:2:212:6d02:0:4042,17
1463028143,2001:470:83ae:2:212:6d02:0:4041,17
1463028145,2001:470:83ae:2:212:6d02:0:4035,17
1463028148,2001:470:83ae:2:212:6d02:0:4013,17
1463028149,2001:470:83ae:2:212:6d02:0:4034,17
1463028160,2001:470:83ae:2:212:6d02:0:4045,18
1463028163,2001:470:83ae:2:212:6d02:0:4043,18
1463028168,2001:470:83ae:2:212:6d02:0:4040,18
1463028169,2001:470:83ae:2:212:6d02:0:4044,18
1463028169,2001:470:83ae:2:212:6d02:0:400f,18
1463028170,2001:470:83ae:2:212:6d02:0:4042,18
1463028173,2001:470:83ae:2:212:6d02:0:4041,18
1463028175,2001:470:83ae:2:212:6d02:0:4035,18
1463028178,2001:470:83ae:2:212:6d02:0:4013,18
1463028179,2001:470:83ae:2:212:6d02:0:4034,18
1463028190,2001:470:83ae:2:212:6d02:0:4045,19
1463028193,2001:470:83ae:2:212:6d02:0:4043,19
1463028198,2001:470:83ae:2:212:6d02:0:4040,19
1463028199,2001:470:83ae:2:212:6d02:0:4044,19
1463028199,2001:470:83ae:2:212:6d02:0:400f,19
1463028200,2001:470:83ae:2:212:6d02:0:4042,19
1463028203,2001:470:83ae:2:212:6d02:0:4041,19
1463028205,2001:470:83ae:2:212:6d02:0:4035,19
1463028208,2001:470:83ae:2:212:6d02:0:4013,19
1463028209,2001:470:83ae:2:212:6d02:0:4034,19
1463028220,2001:470:83ae:2:212:6d02:0:4045,20
1463028223,2001:470:83ae:2:212:6d02:0:4043,20
1463028228,2001:470:83ae:2:212:6d02:0:4040,20
1463028229,2001:470:83ae:2:212:6d02:0:400f,20
1463028229,2001:470:83ae:2:212:6d02:0:4044,20
1463028230,2001:470:83ae:2:212:6d02:0:4042,20
1463028233,2001:470:83ae:2:212:6d02:0:4041,20
